Antibiotico,Organismo,Rango_Min,Rango_Max,Paso,Fuente,Justificacion
Meropenem,Pseudomonas aeruginosa,0.25,16,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoints 2–8 µg/mL"
Imipenem,Pseudomonas aeruginosa,0.25,16,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoints 2–8 µg/mL"
Ciprofloxacino,Pseudomonas aeruginosa,0.06,4,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoints 0.5–1 µg/mL"
Levofloxacino,Pseudomonas aeruginosa,0.06,8,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoints 1–2 µg/mL"
Amikacina,Pseudomonas aeruginosa,2.0,64,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 16 µg/mL"
Tobramicina,Pseudomonas aeruginosa,0.5,16,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 4 µg/mL"
Cefepime,Pseudomonas aeruginosa,0.25,32,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 8 µg/mL"
Ceftazidima,Pseudomonas aeruginosa,0.25,64,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 8 µg/mL"
Piperacilina/Tazobactam,Pseudomonas aeruginosa,1.0,128,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 16 µg/mL (expresado como 16/4)"
Colistina,Pseudomonas aeruginosa,0.25,16,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 2–4 µg/mL"
Cefiderocol,Pseudomonas aeruginosa,0.25,8,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 2 µg/mL"
Ceftazidima/Avibactam,Pseudomonas aeruginosa,0.5,16,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 8 µg/mL"
Ceftolozano/Tazobactam,Pseudomonas aeruginosa,0.25,8,x2,CLSI M07 (2023) + EUCAST v15.0 (2025),"Serie log₂ estándar, cubre breakpoint 4 µg/mL"
