[2025-12-01 00:24:39] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 00:27:02] INFO     | src.core.genotype_phenotype_calculator | Loaded 15 baseline MICs from database (global cache)
[2025-12-01 00:27:02] INFO     | src.core.genotype_phenotype_calculator | Loaded multipliers for 16 antibiotics from DB (global cache)
[2025-12-01 00:27:02] INFO     | src.core.genotype_phenotype_calculator | Calculated MICs for 15 antibiotics with 7 mutations (stochastic=False)
[2025-12-01 00:27:02] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 00:51:08] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 00:55:07] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:00:43] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:04:26] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:35:44] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:38:03] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:39:57] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:42:51] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:43:38] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:44:32] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 01:50:20] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:41:39] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:44:30] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:46:23] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:48:43] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:50:34] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:54:30] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 10:56:17] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:00:51] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:02:12] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:03:49] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:04:21] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:09:01] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:11:50] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
[2025-12-01 11:13:53] INFO     | root                 | [BacteriaProfileWidget._save_profile_to_db] Transacción completada exitosamente
