gen,clase,multiplicador_MIC
gyrA_T83I,carbapenemicos,1.0
parC_S87L,carbapenemicos,1.0
oprD_loss,carbapenemicos,8.0
ampC_promoter_-32C_T,carbapenemicos,1.0
ampD_loss,carbapenemicos,1.0
mexR_frameshift,carbapenemicos,1.0
nalC_Q83K,carbapenemicos,1.0
mexZ_loss,carbapenemicos,1.0
ftsI_PBP3_insertion_YRIN,carbapenemicos,2.0
blaVIM_or_blaIMP,carbapenemicos,16.0
pmrB_mut,carbapenemicos,1.0
gyrA_T83I,cef_3G_ceftazidima,1.0
parC_S87L,cef_3G_ceftazidima,1.0
oprD_loss,cef_3G_ceftazidima,1.0
ampC_promoter_-32C_T,cef_3G_ceftazidima,4.0
ampD_loss,cef_3G_ceftazidima,8.0
mexR_frameshift,cef_3G_ceftazidima,2.0
nalC_Q83K,cef_3G_ceftazidima,1.0
mexZ_loss,cef_3G_ceftazidima,1.0
ftsI_PBP3_insertion_YRIN,cef_3G_ceftazidima,2.0
blaVIM_or_blaIMP,cef_3G_ceftazidima,16.0
pmrB_mut,cef_3G_ceftazidima,1.0
gyrA_T83I,cef_4G_cefepime,1.0
parC_S87L,cef_4G_cefepime,1.0
oprD_loss,cef_4G_cefepime,1.0
ampC_promoter_-32C_T,cef_4G_cefepime,4.0
ampD_loss,cef_4G_cefepime,8.0
mexR_frameshift,cef_4G_cefepime,2.0
nalC_Q83K,cef_4G_cefepime,1.0
mexZ_loss,cef_4G_cefepime,1.0
ftsI_PBP3_insertion_YRIN,cef_4G_cefepime,2.0
blaVIM_or_blaIMP,cef_4G_cefepime,16.0
pmrB_mut,cef_4G_cefepime,1.0
gyrA_T83I,cef_inhibidor,1.0
parC_S87L,cef_inhibidor,1.0
oprD_loss,cef_inhibidor,1.0
ampC_promoter_-32C_T,cef_inhibidor,1.0
ampD_loss,cef_inhibidor,2.0
mexR_frameshift,cef_inhibidor,1.0
nalC_Q83K,cef_inhibidor,1.0
mexZ_loss,cef_inhibidor,1.0
ftsI_PBP3_insertion_YRIN,cef_inhibidor,2.0
blaVIM_or_blaIMP,cef_inhibidor,16.0
pmrB_mut,cef_inhibidor,1.0
gyrA_T83I,monobactam_aztreonam,1.0
parC_S87L,monobactam_aztreonam,1.0
oprD_loss,monobactam_aztreonam,1.0
ampC_promoter_-32C_T,monobactam_aztreonam,2.0
ampD_loss,monobactam_aztreonam,4.0
mexR_frameshift,monobactam_aztreonam,1.0
nalC_Q83K,monobactam_aztreonam,1.0
mexZ_loss,monobactam_aztreonam,1.0
ftsI_PBP3_insertion_YRIN,monobactam_aztreonam,2.0
blaVIM_or_blaIMP,monobactam_aztreonam,1.0
pmrB_mut,monobactam_aztreonam,1.0
gyrA_T83I,penicilina_inhibidor,1.0
parC_S87L,penicilina_inhibidor,1.0
oprD_loss,penicilina_inhibidor,1.0
ampC_promoter_-32C_T,penicilina_inhibidor,2.0
ampD_loss,penicilina_inhibidor,4.0
mexR_frameshift,penicilina_inhibidor,2.0
nalC_Q83K,penicilina_inhibidor,1.0
mexZ_loss,penicilina_inhibidor,1.0
ftsI_PBP3_insertion_YRIN,penicilina_inhibidor,2.0
blaVIM_or_blaIMP,penicilina_inhibidor,1.0
pmrB_mut,penicilina_inhibidor,1.0
gyrA_T83I,aminoglucosidos,1.0
parC_S87L,aminoglucosidos,1.0
oprD_loss,aminoglucosidos,1.0
ampC_promoter_-32C_T,aminoglucosidos,1.0
ampD_loss,aminoglucosidos,1.0
mexR_frameshift,aminoglucosidos,1.0
nalC_Q83K,aminoglucosidos,1.0
mexZ_loss,aminoglucosidos,4.0
ftsI_PBP3_insertion_YRIN,aminoglucosidos,1.0
blaVIM_or_blaIMP,aminoglucosidos,1.0
pmrB_mut,aminoglucosidos,1.0
gyrA_T83I,fluoroquinolonas,8.0
parC_S87L,fluoroquinolonas,4.0
oprD_loss,fluoroquinolonas,1.0
ampC_promoter_-32C_T,fluoroquinolonas,1.0
ampD_loss,fluoroquinolonas,1.0
mexR_frameshift,fluoroquinolonas,4.0
nalC_Q83K,fluoroquinolonas,2.0
mexZ_loss,fluoroquinolonas,1.0
ftsI_PBP3_insertion_YRIN,fluoroquinolonas,1.0
blaVIM_or_blaIMP,fluoroquinolonas,1.0
pmrB_mut,fluoroquinolonas,1.0
gyrA_T83I,polimixinas,1.0
parC_S87L,polimixinas,1.0
oprD_loss,polimixinas,1.0
ampC_promoter_-32C_T,polimixinas,1.0
ampD_loss,polimixinas,1.0
mexR_frameshift,polimixinas,1.0
nalC_Q83K,polimixinas,1.0
mexZ_loss,polimixinas,1.0
ftsI_PBP3_insertion_YRIN,polimixinas,1.0
blaVIM_or_blaIMP,polimixinas,1.0
pmrB_mut,polimixinas,8.0
gyrA_T83I,sideroforo_cefiderocol,1.0
parC_S87L,sideroforo_cefiderocol,1.0
oprD_loss,sideroforo_cefiderocol,1.0
ampC_promoter_-32C_T,sideroforo_cefiderocol,1.0
ampD_loss,sideroforo_cefiderocol,1.0
mexR_frameshift,sideroforo_cefiderocol,1.0
nalC_Q83K,sideroforo_cefiderocol,1.0
mexZ_loss,sideroforo_cefiderocol,1.0
ftsI_PBP3_insertion_YRIN,sideroforo_cefiderocol,1.0
blaVIM_or_blaIMP,sideroforo_cefiderocol,2.0
pmrB_mut,sideroforo_cefiderocol,1.0
